Epoch 61,"4008025/4008025 [==============================],34s,8us/step,loss: 0.0065,binary_accuracy: 0.9980,val_loss: 0.0070,val_binary_accuracy: 0.9980",
Epoch 62,"4008025/4008025 [==============================],32s,8us/step,loss: 0.0067,binary_accuracy: 0.9980,val_loss: 0.0064,val_binary_accuracy: 0.9980",
Epoch 63,"4008025/4008025 [==============================],33s,8us/step,loss: 0.0067,binary_accuracy: 0.9980,val_loss: 0.0065,val_binary_accuracy: 0.9980",
Epoch 64,"4008025/4008025 [==============================],35s,9us/step,loss: 0.0066,binary_accuracy: 0.9980,val_loss: 0.0067,val_binary_accuracy: 0.9980",
Epoch 65,"4008025/4008025 [==============================],34s,8us/step,loss: 0.0065,binary_accuracy: 0.9980,val_loss: 0.0063,val_binary_accuracy: 0.9980",
Epoch 66,"4008025/4008025 [==============================],34s,8us/step,loss: 0.0065,binary_accuracy: 0.9980,val_loss: 0.0073,val_binary_accuracy: 0.9980",
Epoch 67,"4008025/4008025 [==============================],34s,8us/step,loss: 0.0065,binary_accuracy: 0.9980,val_loss: 0.0063,val_binary_accuracy: 0.9980",
Epoch 68,"4008025/4008025 [==============================],34s,9us/step,loss: 0.0065,binary_accuracy: 0.9980,val_loss: 0.0068,val_binary_accuracy: 0.9980",
Epoch 69,"4008025/4008025 [==============================],34s,8us/step,loss: 0.0066,binary_accuracy: 0.9980,val_loss: 0.0066,val_binary_accuracy: 0.9980",
Epoch 70,"4008025/4008025 [==============================],34s,8us/step,loss: 0.0065,binary_accuracy: 0.9980,val_loss: 0.0064,val_binary_accuracy: 0.9980",
Epoch 71,"4008025/4008025 [==============================],34s,9us/step,loss: 0.0066,binary_accuracy: 0.9980,val_loss: 0.0070,val_binary_accuracy: 0.9980",
Epoch 72,"4008025/4008025 [==============================],35s,9us/step,loss: 0.0066,binary_accuracy: 0.9980,val_loss: 0.0063,val_binary_accuracy: 0.9980",
Epoch 73,"4008025/4008025 [==============================],34s,9us/step,loss: 0.0066,binary_accuracy: 0.9980,val_loss: 0.0066,val_binary_accuracy: 0.9980",
Epoch 74,"4008025/4008025 [==============================],35s,9us/step,loss: 0.0066,binary_accuracy: 0.9980,val_loss: 0.0064,val_binary_accuracy: 0.9980",
